subject2,WhiteDirectMean,BlackDirectMean,WhiteIndirectMean,BlackIndirectMean,Indirect,Direct,IndirectR,DirectR,Condition,age,ethnicity,gender,Site,USvIT,ConditionF,USvITF
679,2,2,2.652173913043478,2.8333333333333335,-0.18115942028985543,0,0.9360613810741687,1,-1,21,Other,1,UCF,-1,-1,-1
680,3,2.9166666666666665,3.4583333333333335,3.4583333333333335,0,0.08333333333333348,1,1.0285714285714287,1,19,Latino or Hispanic,2,UCF,-1,1,-1
686,2.5833333333333335,2.75,2.75,3.2916666666666665,-0.5416666666666665,-0.16666666666666652,0.8354430379746836,0.9393939393939394,1,18,Latino or Hispanic,1,UCF,-1,1,-1
687,2.5,2.6666666666666665,2.9166666666666665,2.4166666666666665,0.5,-0.16666666666666652,1.206896551724138,0.9375,-1,19,Latino or Hispanic,1,UCF,-1,-1,-1
688,2.9166666666666665,2.75,2.7083333333333335,2.5416666666666665,0.16666666666666696,0.16666666666666652,1.0655737704918034,1.0606060606060606,1,20,Asian-American,2,UCF,-1,1,-1
689,3,2.75,3.2916666666666665,3.25,0.04166666666666652,0.25,1.0128205128205128,1.0909090909090908,-1,18,African-American,1,UCF,-1,-1,-1
690,3.0833333333333335,2.8333333333333335,3.0833333333333335,3.0833333333333335,0,0.25,1,1.088235294117647,1,19,"White, non-Hispanic or Latino",1,UCF,-1,1,-1
691,1.6666666666666667,2,1.6666666666666667,1.8333333333333333,-0.16666666666666652,-0.33333333333333326,0.9090909090909092,0.8333333333333334,-1,18,Other,1,UCF,-1,-1,-1
693,2.9166666666666665,3.090909090909091,2.375,2.0833333333333335,0.2916666666666665,-0.1742424242424243,1.14,0.9436274509803921,-1,22,African-American,2,UCF,-1,-1,-1
701,3.0833333333333335,2.1666666666666665,2.8333333333333335,2.25,0.5833333333333335,0.916666666666667,1.2592592592592593,1.4230769230769234,-1,21,Multiracial,2,UCF,-1,-1,-1
702,2.25,2.5833333333333335,2.5833333333333335,3.0833333333333335,-0.5,-0.3333333333333335,0.8378378378378378,0.8709677419354839,1,18,"White, non-Hispanic or Latino",2,UCF,-1,1,-1
704,2.727272727272727,2.5833333333333335,3.375,3.1666666666666665,0.20833333333333348,0.1439393939393936,1.0657894736842106,1.0557184750733137,1,23,Asian-American,1,UCF,-1,1,-1
705,2.727272727272727,2.75,2.7083333333333335,2.625,0.08333333333333348,-0.02272727272727293,1.0317460317460319,0.9917355371900826,-1,20,African-American,2,UCF,-1,-1,-1
